Date,Open,High,Low,Close,Index
2020-06-19,,,,266.101,ICICI Prudential Multi Asset Allocation Fund
2020-06-22,,,,269.1291,ICICI Prudential Multi Asset Allocation Fund
2020-06-23,,,,273.2416,ICICI Prudential Multi Asset Allocation Fund
2020-06-24,,,,267.9543,ICICI Prudential Multi Asset Allocation Fund
2020-06-25,,,,267.1485,ICICI Prudential Multi Asset Allocation Fund
2020-06-26,,,,269.489,ICICI Prudential Multi Asset Allocation Fund
2020-06-29,,,,267.1383,ICICI Prudential Multi Asset Allocation Fund
2020-06-30,,,,267.7936,ICICI Prudential Multi Asset Allocation Fund
2020-07-01,,,,268.8197,ICICI Prudential Multi Asset Allocation Fund
2020-07-02,,,,270.1954,ICICI Prudential Multi Asset Allocation Fund
2020-07-03,,,,271.5864,ICICI Prudential Multi Asset Allocation Fund
2020-07-06,,,,273.7581,ICICI Prudential Multi Asset Allocation Fund
2020-07-07,,,,272.94,ICICI Prudential Multi Asset Allocation Fund
2020-07-08,,,,272.5438,ICICI Prudential Multi Asset Allocation Fund
2020-07-09,,,,274.5334,ICICI Prudential Multi Asset Allocation Fund
2020-07-10,,,,272.8092,ICICI Prudential Multi Asset Allocation Fund
2020-07-13,,,,273.8991,ICICI Prudential Multi Asset Allocation Fund
2020-07-14,,,,270.5449,ICICI Prudential Multi Asset Allocation Fund
2020-07-15,,,,270.3343,ICICI Prudential Multi Asset Allocation Fund
2020-07-16,,,,271.0075,ICICI Prudential Multi Asset Allocation Fund
2020-07-17,,,,273.8734,ICICI Prudential Multi Asset Allocation Fund
2020-07-20,,,,275.0345,ICICI Prudential Multi Asset Allocation Fund
2020-07-21,,,,276.8888,ICICI Prudential Multi Asset Allocation Fund
2020-07-22,,,,277.8901,ICICI Prudential Multi Asset Allocation Fund
2020-07-23,,,,279.785,ICICI Prudential Multi Asset Allocation Fund
2020-07-24,,,,277.8483,ICICI Prudential Multi Asset Allocation Fund
2020-07-27,,,,276.3391,ICICI Prudential Multi Asset Allocation Fund
2020-07-28,,,,277.4689,ICICI Prudential Multi Asset Allocation Fund
2020-07-29,,,,277.8864,ICICI Prudential Multi Asset Allocation Fund
2020-07-30,,,,275.7602,ICICI Prudential Multi Asset Allocation Fund
2020-07-31,,,,277.7136,ICICI Prudential Multi Asset Allocation Fund
2020-08-03,,,,275.9743,ICICI Prudential Multi Asset Allocation Fund
2020-08-04,,,,277.5682,ICICI Prudential Multi Asset Allocation Fund
2020-08-05,,,,280.3067,ICICI Prudential Multi Asset Allocation Fund
2020-08-06,,,,282.3723,ICICI Prudential Multi Asset Allocation Fund
2020-08-07,,,,282.6177,ICICI Prudential Multi Asset Allocation Fund
2020-08-10,,,,285.1111,ICICI Prudential Multi Asset Allocation Fund
2020-08-11,,,,284.1864,ICICI Prudential Multi Asset Allocation Fund
2020-08-12,,,,283.129,ICICI Prudential Multi Asset Allocation Fund
2020-08-13,,,,284.4784,ICICI Prudential Multi Asset Allocation Fund
2020-08-14,,,,283.1324,ICICI Prudential Multi Asset Allocation Fund
2020-08-17,,,,287.0232,ICICI Prudential Multi Asset Allocation Fund
2020-08-18,,,,288.8866,ICICI Prudential Multi Asset Allocation Fund
2020-08-19,,,,290.0893,ICICI Prudential Multi Asset Allocation Fund
2020-08-20,,,,291.9432,ICICI Prudential Multi Asset Allocation Fund
2020-08-21,,,,293.7103,ICICI Prudential Multi Asset Allocation Fund
2020-08-24,,,,293.8053,ICICI Prudential Multi Asset Allocation Fund
2020-08-25,,,,292.2917,ICICI Prudential Multi Asset Allocation Fund
2020-08-26,,,,292.464,ICICI Prudential Multi Asset Allocation Fund
2020-08-27,,,,292.3839,ICICI Prudential Multi Asset Allocation Fund
2020-08-28,,,,294.2631,ICICI Prudential Multi Asset Allocation Fund
2020-08-31,,,,287.8636,ICICI Prudential Multi Asset Allocation Fund
2020-09-01,,,,291.212,ICICI Prudential Multi Asset Allocation Fund
2020-09-02,,,,291.9228,ICICI Prudential Multi Asset Allocation Fund
2020-09-03,,,,289.918,ICICI Prudential Multi Asset Allocation Fund
2020-09-04,,,,285.4421,ICICI Prudential Multi Asset Allocation Fund
2020-09-07,,,,284.3145,ICICI Prudential Multi Asset Allocation Fund
2020-09-08,,,,280.9433,ICICI Prudential Multi Asset Allocation Fund
2020-09-09,,,,280.0894,ICICI Prudential Multi Asset Allocation Fund
2020-09-10,,,,280.7668,ICICI Prudential Multi Asset Allocation Fund
2020-09-11,,,,280.7244,ICICI Prudential Multi Asset Allocation Fund
2020-09-14,,,,280.3991,ICICI Prudential Multi Asset Allocation Fund
2020-09-15,,,,282.7457,ICICI Prudential Multi Asset Allocation Fund
2020-09-16,,,,282.9316,ICICI Prudential Multi Asset Allocation Fund
2020-09-17,,,,280.8034,ICICI Prudential Multi Asset Allocation Fund
2020-09-18,,,,283.0444,ICICI Prudential Multi Asset Allocation Fund
2020-09-21,,,,275.3878,ICICI Prudential Multi Asset Allocation Fund
2020-09-22,,,,273.8037,ICICI Prudential Multi Asset Allocation Fund
2020-09-23,,,,271.2256,ICICI Prudential Multi Asset Allocation Fund
2020-09-24,,,,263.8009,ICICI Prudential Multi Asset Allocation Fund
2020-09-25,,,,269.9048,ICICI Prudential Multi Asset Allocation Fund
2020-09-28,,,,274.2437,ICICI Prudential Multi Asset Allocation Fund
2020-09-29,,,,272.5548,ICICI Prudential Multi Asset Allocation Fund
2020-09-30,,,,271.5083,ICICI Prudential Multi Asset Allocation Fund
2020-10-01,,,,273.8172,ICICI Prudential Multi Asset Allocation Fund
2020-10-05,,,,274.7164,ICICI Prudential Multi Asset Allocation Fund
2020-10-06,,,,275.7943,ICICI Prudential Multi Asset Allocation Fund
2020-10-07,,,,273.5216,ICICI Prudential Multi Asset Allocation Fund
2020-10-08,,,,273.8491,ICICI Prudential Multi Asset Allocation Fund
2020-10-09,,,,275.7626,ICICI Prudential Multi Asset Allocation Fund
2020-10-12,,,,273.4021,ICICI Prudential Multi Asset Allocation Fund
2020-10-13,,,,272.8127,ICICI Prudential Multi Asset Allocation Fund
2020-10-14,,,,270.7166,ICICI Prudential Multi Asset Allocation Fund
2020-10-15,,,,267.1453,ICICI Prudential Multi Asset Allocation Fund
2020-10-16,,,,269.6999,ICICI Prudential Multi Asset Allocation Fund
2020-10-19,,,,272.7968,ICICI Prudential Multi Asset Allocation Fund
2020-10-20,,,,272.453,ICICI Prudential Multi Asset Allocation Fund
2020-10-21,,,,275.3467,ICICI Prudential Multi Asset Allocation Fund
2020-10-22,,,,276.8361,ICICI Prudential Multi Asset Allocation Fund
2020-10-23,,,,277.7235,ICICI Prudential Multi Asset Allocation Fund
2020-10-26,,,,274.8534,ICICI Prudential Multi Asset Allocation Fund
2020-10-27,,,,275.8746,ICICI Prudential Multi Asset Allocation Fund
2020-10-28,,,,274.5513,ICICI Prudential Multi Asset Allocation Fund
2020-10-29,,,,272.7509,ICICI Prudential Multi Asset Allocation Fund
2020-10-30,,,,272.8128,ICICI Prudential Multi Asset Allocation Fund
2020-11-02,,,,276.1837,ICICI Prudential Multi Asset Allocation Fund
2020-11-03,,,,277.9533,ICICI Prudential Multi Asset Allocation Fund
2020-11-04,,,,277.6459,ICICI Prudential Multi Asset Allocation Fund
2020-11-05,,,,282.4572,ICICI Prudential Multi Asset Allocation Fund
2020-11-06,,,,282.9911,ICICI Prudential Multi Asset Allocation Fund
2020-11-09,,,,286.612,ICICI Prudential Multi Asset Allocation Fund
2020-11-10,,,,288.0066,ICICI Prudential Multi Asset Allocation Fund
2020-11-11,,,,292.2203,ICICI Prudential Multi Asset Allocation Fund
2020-11-12,,,,291.6811,ICICI Prudential Multi Asset Allocation Fund
2020-11-13,,,,292.9794,ICICI Prudential Multi Asset Allocation Fund
2020-11-17,,,,294.3709,ICICI Prudential Multi Asset Allocation Fund
2020-11-18,,,,295.5459,ICICI Prudential Multi Asset Allocation Fund
2020-11-19,,,,293.5436,ICICI Prudential Multi Asset Allocation Fund
2020-11-20,,,,295.8774,ICICI Prudential Multi Asset Allocation Fund
2020-11-23,,,,297.406,ICICI Prudential Multi Asset Allocation Fund
2020-11-24,,,,298.7793,ICICI Prudential Multi Asset Allocation Fund
2020-11-25,,,,297.6182,ICICI Prudential Multi Asset Allocation Fund
2020-11-26,,,,299.4339,ICICI Prudential Multi Asset Allocation Fund
2020-11-27,,,,299.2307,ICICI Prudential Multi Asset Allocation Fund
2020-12-01,,,,303.8679,ICICI Prudential Multi Asset Allocation Fund
2020-12-02,,,,306.3408,ICICI Prudential Multi Asset Allocation Fund
2020-12-03,,,,310.3726,ICICI Prudential Multi Asset Allocation Fund
2020-12-04,,,,314.6426,ICICI Prudential Multi Asset Allocation Fund
2020-12-07,,,,318.7506,ICICI Prudential Multi Asset Allocation Fund
2020-12-08,,,,317.7015,ICICI Prudential Multi Asset Allocation Fund
2020-12-09,,,,318.5846,ICICI Prudential Multi Asset Allocation Fund
2020-12-10,,,,317.9821,ICICI Prudential Multi Asset Allocation Fund
2020-12-11,,,,322.1279,ICICI Prudential Multi Asset Allocation Fund
2020-12-14,,,,325.3136,ICICI Prudential Multi Asset Allocation Fund
2020-12-15,,,,324.9667,ICICI Prudential Multi Asset Allocation Fund
2020-12-16,,,,326.8883,ICICI Prudential Multi Asset Allocation Fund
2020-12-17,,,,325.9065,ICICI Prudential Multi Asset Allocation Fund
2020-12-18,,,,326.0678,ICICI Prudential Multi Asset Allocation Fund
2020-12-21,,,,312.5644,ICICI Prudential Multi Asset Allocation Fund
2020-12-22,,,,316.0679,ICICI Prudential Multi Asset Allocation Fund
2020-12-23,,,,319.3518,ICICI Prudential Multi Asset Allocation Fund
2020-12-24,,,,323.2047,ICICI Prudential Multi Asset Allocation Fund
2020-12-28,,,,325.4071,ICICI Prudential Multi Asset Allocation Fund
2020-12-29,,,,325.0656,ICICI Prudential Multi Asset Allocation Fund
2020-12-30,,,,325.1237,ICICI Prudential Multi Asset Allocation Fund
2020-12-31,,,,325.1125,ICICI Prudential Multi Asset Allocation Fund
2021-01-01,,,,326.3334,ICICI Prudential Multi Asset Allocation Fund
2021-01-04,,,,331.7692,ICICI Prudential Multi Asset Allocation Fund
2021-01-05,,,,331.3126,ICICI Prudential Multi Asset Allocation Fund
2021-01-06,,,,333.2953,ICICI Prudential Multi Asset Allocation Fund
2021-01-07,,,,335.6607,ICICI Prudential Multi Asset Allocation Fund
2021-01-08,,,,336.7198,ICICI Prudential Multi Asset Allocation Fund
2021-01-11,,,,337.9795,ICICI Prudential Multi Asset Allocation Fund
2021-01-12,,,,341.116,ICICI Prudential Multi Asset Allocation Fund
2021-01-13,,,,344.1277,ICICI Prudential Multi Asset Allocation Fund
2021-01-14,,,,343.8632,ICICI Prudential Multi Asset Allocation Fund
2021-01-15,,,,341.2003,ICICI Prudential Multi Asset Allocation Fund
2021-01-18,,,,334.3202,ICICI Prudential Multi Asset Allocation Fund
