Date,Open,High,Low,Close,Index
2020-06-09,,,,37.5,ICICI Prudential Balanced Advantage Fund
2020-06-10,,,,37.57,ICICI Prudential Balanced Advantage Fund
2020-06-11,,,,37.06,ICICI Prudential Balanced Advantage Fund
2020-06-12,,,,37.27,ICICI Prudential Balanced Advantage Fund
2020-06-15,,,,36.9,ICICI Prudential Balanced Advantage Fund
2020-06-16,,,,37.13,ICICI Prudential Balanced Advantage Fund
2020-06-17,,,,37.17,ICICI Prudential Balanced Advantage Fund
2020-06-18,,,,37.61,ICICI Prudential Balanced Advantage Fund
2020-06-19,,,,38.03,ICICI Prudential Balanced Advantage Fund
2020-06-22,,,,38.29,ICICI Prudential Balanced Advantage Fund
2020-06-23,,,,38.69,ICICI Prudential Balanced Advantage Fund
2020-06-24,,,,38.22,ICICI Prudential Balanced Advantage Fund
2020-06-25,,,,38.22,ICICI Prudential Balanced Advantage Fund
2020-06-26,,,,38.39,ICICI Prudential Balanced Advantage Fund
2020-06-29,,,,38.17,ICICI Prudential Balanced Advantage Fund
2020-06-30,,,,38.17,ICICI Prudential Balanced Advantage Fund
2020-07-01,,,,38.4,ICICI Prudential Balanced Advantage Fund
2020-07-02,,,,38.72,ICICI Prudential Balanced Advantage Fund
2020-07-03,,,,38.86,ICICI Prudential Balanced Advantage Fund
2020-07-06,,,,39.26,ICICI Prudential Balanced Advantage Fund
2020-07-07,,,,39.38,ICICI Prudential Balanced Advantage Fund
2020-07-08,,,,39.15,ICICI Prudential Balanced Advantage Fund
2020-07-09,,,,39.38,ICICI Prudential Balanced Advantage Fund
2020-07-10,,,,39.29,ICICI Prudential Balanced Advantage Fund
2020-07-13,,,,39.37,ICICI Prudential Balanced Advantage Fund
2020-07-14,,,,38.94,ICICI Prudential Balanced Advantage Fund
2020-07-15,,,,38.95,ICICI Prudential Balanced Advantage Fund
2020-07-16,,,,39.15,ICICI Prudential Balanced Advantage Fund
2020-07-17,,,,39.51,ICICI Prudential Balanced Advantage Fund
2020-07-20,,,,39.77,ICICI Prudential Balanced Advantage Fund
2020-07-21,,,,40.08,ICICI Prudential Balanced Advantage Fund
2020-07-22,,,,40.08,ICICI Prudential Balanced Advantage Fund
2020-07-23,,,,40.34,ICICI Prudential Balanced Advantage Fund
2020-07-24,,,,40.25,ICICI Prudential Balanced Advantage Fund
2020-07-27,,,,40.0,ICICI Prudential Balanced Advantage Fund
2020-07-28,,,,40.27,ICICI Prudential Balanced Advantage Fund
2020-07-29,,,,40.1,ICICI Prudential Balanced Advantage Fund
2020-07-30,,,,39.97,ICICI Prudential Balanced Advantage Fund
2020-07-31,,,,39.95,ICICI Prudential Balanced Advantage Fund
2020-08-03,,,,39.69,ICICI Prudential Balanced Advantage Fund
2020-08-04,,,,40.1,ICICI Prudential Balanced Advantage Fund
2020-08-05,,,,40.24,ICICI Prudential Balanced Advantage Fund
2020-08-06,,,,40.44,ICICI Prudential Balanced Advantage Fund
2020-08-07,,,,40.43,ICICI Prudential Balanced Advantage Fund
2020-08-10,,,,40.64,ICICI Prudential Balanced Advantage Fund
2020-08-11,,,,40.69,ICICI Prudential Balanced Advantage Fund
2020-08-12,,,,40.82,ICICI Prudential Balanced Advantage Fund
2020-08-13,,,,40.98,ICICI Prudential Balanced Advantage Fund
2020-08-14,,,,40.7,ICICI Prudential Balanced Advantage Fund
2020-08-17,,,,40.92,ICICI Prudential Balanced Advantage Fund
2020-08-18,,,,41.26,ICICI Prudential Balanced Advantage Fund
2020-08-19,,,,41.36,ICICI Prudential Balanced Advantage Fund
2020-08-20,,,,41.28,ICICI Prudential Balanced Advantage Fund
2020-08-21,,,,41.36,ICICI Prudential Balanced Advantage Fund
2020-08-24,,,,41.52,ICICI Prudential Balanced Advantage Fund
2020-08-25,,,,41.56,ICICI Prudential Balanced Advantage Fund
2020-08-26,,,,41.68,ICICI Prudential Balanced Advantage Fund
2020-08-27,,,,41.68,ICICI Prudential Balanced Advantage Fund
2020-08-28,,,,41.88,ICICI Prudential Balanced Advantage Fund
2020-08-31,,,,41.16,ICICI Prudential Balanced Advantage Fund
2020-09-01,,,,41.49,ICICI Prudential Balanced Advantage Fund
2020-09-02,,,,41.69,ICICI Prudential Balanced Advantage Fund
2020-09-03,,,,41.68,ICICI Prudential Balanced Advantage Fund
2020-09-04,,,,41.27,ICICI Prudential Balanced Advantage Fund
2020-09-07,,,,41.25,ICICI Prudential Balanced Advantage Fund
2020-09-08,,,,41.05,ICICI Prudential Balanced Advantage Fund
2020-09-09,,,,40.97,ICICI Prudential Balanced Advantage Fund
2020-09-10,,,,41.26,ICICI Prudential Balanced Advantage Fund
2020-09-11,,,,41.29,ICICI Prudential Balanced Advantage Fund
2020-09-14,,,,41.35,ICICI Prudential Balanced Advantage Fund
2020-09-15,,,,41.54,ICICI Prudential Balanced Advantage Fund
2020-09-16,,,,41.66,ICICI Prudential Balanced Advantage Fund
2020-09-17,,,,41.49,ICICI Prudential Balanced Advantage Fund
2020-09-18,,,,41.53,ICICI Prudential Balanced Advantage Fund
2020-09-21,,,,40.83,ICICI Prudential Balanced Advantage Fund
2020-09-22,,,,40.59,ICICI Prudential Balanced Advantage Fund
2020-09-23,,,,40.51,ICICI Prudential Balanced Advantage Fund
2020-09-24,,,,39.77,ICICI Prudential Balanced Advantage Fund
2020-09-25,,,,40.43,ICICI Prudential Balanced Advantage Fund
2020-09-28,,,,40.95,ICICI Prudential Balanced Advantage Fund
2020-09-29,,,,40.9,ICICI Prudential Balanced Advantage Fund
2020-09-30,,,,40.94,ICICI Prudential Balanced Advantage Fund
2020-10-01,,,,41.28,ICICI Prudential Balanced Advantage Fund
2020-10-05,,,,41.37,ICICI Prudential Balanced Advantage Fund
2020-10-06,,,,41.59,ICICI Prudential Balanced Advantage Fund
2020-10-07,,,,41.69,ICICI Prudential Balanced Advantage Fund
2020-10-08,,,,41.86,ICICI Prudential Balanced Advantage Fund
2020-10-09,,,,42.07,ICICI Prudential Balanced Advantage Fund
2020-10-12,,,,41.96,ICICI Prudential Balanced Advantage Fund
2020-10-13,,,,41.93,ICICI Prudential Balanced Advantage Fund
2020-10-14,,,,41.96,ICICI Prudential Balanced Advantage Fund
2020-10-15,,,,41.4,ICICI Prudential Balanced Advantage Fund
2020-10-16,,,,41.59,ICICI Prudential Balanced Advantage Fund
2020-10-19,,,,41.85,ICICI Prudential Balanced Advantage Fund
2020-10-20,,,,41.91,ICICI Prudential Balanced Advantage Fund
2020-10-21,,,,42.01,ICICI Prudential Balanced Advantage Fund
2020-10-22,,,,41.94,ICICI Prudential Balanced Advantage Fund
2020-10-23,,,,42.09,ICICI Prudential Balanced Advantage Fund
2020-10-26,,,,41.73,ICICI Prudential Balanced Advantage Fund
2020-10-27,,,,41.98,ICICI Prudential Balanced Advantage Fund
2020-10-28,,,,41.71,ICICI Prudential Balanced Advantage Fund
2020-10-29,,,,41.65,ICICI Prudential Balanced Advantage Fund
2020-10-30,,,,41.6,ICICI Prudential Balanced Advantage Fund
2020-11-02,,,,41.74,ICICI Prudential Balanced Advantage Fund
2020-11-03,,,,42.0,ICICI Prudential Balanced Advantage Fund
2020-11-04,,,,42.2,ICICI Prudential Balanced Advantage Fund
2020-11-05,,,,42.66,ICICI Prudential Balanced Advantage Fund
2020-11-06,,,,42.9,ICICI Prudential Balanced Advantage Fund
2020-11-09,,,,43.36,ICICI Prudential Balanced Advantage Fund
2020-11-10,,,,43.72,ICICI Prudential Balanced Advantage Fund
2020-11-11,,,,43.92,ICICI Prudential Balanced Advantage Fund
2020-11-12,,,,43.84,ICICI Prudential Balanced Advantage Fund
2020-11-13,,,,43.91,ICICI Prudential Balanced Advantage Fund
2020-11-17,,,,44.16,ICICI Prudential Balanced Advantage Fund
